size,mode,limit,runs,P1 difficulty,P2 difficulty,P1 wins,P2 wins,Draw
12,SYM,50,20,EASY,MED,0,12,8
12,SYM,50,20,EASY,HARD,0,18,2
12,SYM,50,20,MED,HARD,3,14,3
12,SYM,100,20,EASY,MED,0,13,7
12,SYM,100,20,EASY,HARD,1,17,2
12,SYM,100,20,MED,HARD,4,10,6
12,SYM,150,20,EASY,MED,2,8,10
12,SYM,150,20,EASY,HARD,0,14,6
12,SYM,150,20,MED,HARD,3,15,2
12,SYM,200,20,EASY,MED,5,10,5
12,SYM,200,20,EASY,HARD,0,16,4
12,SYM,200,20,MED,HARD,3,15,2
12,SEP,50,20,EASY,MED,0,5,15
12,SEP,50,20,EASY,HARD,1,15,4
12,SEP,50,20,MED,HARD,2,15,3
12,SEP,100,20,EASY,MED,2,6,12
12,SEP,100,20,EASY,HARD,1,12,7
12,SEP,100,20,MED,HARD,0,16,4
12,SEP,150,20,EASY,MED,4,2,14
12,SEP,150,20,EASY,HARD,4,12,4
12,SEP,150,20,MED,HARD,4,6,10
12,SEP,200,20,EASY,MED,5,7,8
12,SEP,200,20,EASY,HARD,1,14,5
12,SEP,200,20,MED,HARD,2,13,5
12,NON,50,20,EASY,MED,0,19,1
12,NON,50,20,EASY,HARD,0,20,0
12,NON,50,20,MED,HARD,6,14,0
12,NON,100,20,EASY,MED,0,20,0
12,NON,100,20,EASY,HARD,0,20,0
12,NON,100,20,MED,HARD,2,18,0
12,NON,150,20,EASY,MED,0,20,0
12,NON,150,20,EASY,HARD,0,20,0
12,NON,150,20,MED,HARD,2,18,0
12,NON,200,20,EASY,MED,0,20,0
12,NON,200,20,EASY,HARD,0,20,0
12,NON,200,20,MED,HARD,3,16,1
16,SYM,50,20,EASY,MED,0,11,9
16,SYM,50,20,EASY,HARD,0,18,2
16,SYM,50,20,MED,HARD,1,15,4
16,SYM,100,20,EASY,MED,0,17,3
16,SYM,100,20,EASY,HARD,0,17,3
16,SYM,100,20,MED,HARD,3,11,6
16,SYM,150,20,EASY,MED,1,11,8
16,SYM,150,20,EASY,HARD,0,15,5
16,SYM,150,20,MED,HARD,4,12,4
16,SYM,200,20,EASY,MED,0,13,7
16,SYM,200,20,EASY,HARD,1,16,3
16,SYM,200,20,MED,HARD,4,13,3
16,SEP,50,20,EASY,MED,0,9,11
16,SEP,50,20,EASY,HARD,1,14,5
16,SEP,50,20,MED,HARD,2,13,5
16,SEP,100,20,EASY,MED,1,7,12
16,SEP,100,20,EASY,HARD,1,16,3
16,SEP,100,20,MED,HARD,1,18,1
16,SEP,150,20,EASY,MED,2,11,7
16,SEP,150,20,EASY,HARD,0,11,9
16,SEP,150,20,MED,HARD,1,16,3
16,SEP,200,20,EASY,MED,1,12,7
16,SEP,200,20,EASY,HARD,0,14,6
16,SEP,200,20,MED,HARD,4,13,3
16,NON,50,20,EASY,MED,0,20,0
16,NON,50,20,EASY,HARD,0,20,0
16,NON,50,20,MED,HARD,4,15,1
16,NON,100,20,EASY,MED,0,19,1
16,NON,100,20,EASY,HARD,0,20,0
16,NON,100,20,MED,HARD,2,18,0
16,NON,150,20,EASY,MED,0,20,0
16,NON,150,20,EASY,HARD,0,20,0
16,NON,150,20,MED,HARD,2,18,0
16,NON,200,20,EASY,MED,0,20,0
16,NON,200,20,EASY,HARD,0,20,0
16,NON,200,20,MED,HARD,4,16,0
24,SYM,50,20,EASY,MED,0,17,3
24,SYM,50,20,EASY,HARD,0,16,4
24,SYM,50,20,MED,HARD,5,6,9
24,SYM,100,20,EASY,MED,0,9,11
24,SYM,100,20,EASY,HARD,0,17,3
24,SYM,100,20,MED,HARD,4,11,5
24,SYM,150,20,EASY,MED,0,15,5
24,SYM,150,20,EASY,HARD,1,17,2
24,SYM,150,20,MED,HARD,7,11,2
24,SYM,200,20,EASY,MED,0,12,8
24,SYM,200,20,EASY,HARD,0,17,3
24,SYM,200,20,MED,HARD,6,10,4
24,SEP,50,20,EASY,MED,2,12,6
24,SEP,50,20,EASY,HARD,0,12,8
24,SEP,50,20,MED,HARD,2,9,9
24,SEP,100,20,EASY,MED,2,11,7
24,SEP,100,20,EASY,HARD,0,13,7
24,SEP,100,20,MED,HARD,3,13,4
24,SEP,150,20,EASY,MED,1,10,9
24,SEP,150,20,EASY,HARD,2,13,5
24,SEP,150,20,MED,HARD,1,14,5
24,SEP,200,20,EASY,MED,1,10,9
24,SEP,200,20,EASY,HARD,2,16,2
24,SEP,200,20,MED,HARD,3,11,6
24,NON,50,20,EASY,MED,0,19,1
24,NON,50,20,EASY,HARD,0,20,0
24,NON,50,20,MED,HARD,7,13,0
24,NON,100,20,EASY,MED,0,20,0
24,NON,100,20,EASY,HARD,0,20,0
24,NON,100,20,MED,HARD,5,15,0
24,NON,150,20,EASY,MED,0,20,0
24,NON,150,20,EASY,HARD,0,20,0
24,NON,150,20,MED,HARD,2,18,0
24,NON,200,20,EASY,MED,0,19,1
24,NON,200,20,EASY,HARD,0,20,0
24,NON,200,20,MED,HARD,6,13,1
